title,url,publishedAt,description,source
OpenAI Abandons Planned For-Profit Conversion,https://www.wsj.com/tech/ai/openai-to-become-public-benefit-corporation-9e7896e0?siteid=yhoof2&yptr=yahoo,2025-05-06 01:54:00,,Yahoo Finance
Chinese holiday spending inches up but trade war weighs on services,https://finance.yahoo.com/news/chinese-holiday-spending-inches-trade-015849986.html,2025-05-06 01:58:49,,Yahoo Finance
Mexico inflation rate seen rising in April but within target range: Reuters Poll,https://finance.yahoo.com/news/mexico-inflation-rate-seen-rising-230104036.html,2025-05-05 23:01:04,,Yahoo Finance
CHG-MERIDIAN reports record lease growth and profit in 2024,https://finance.yahoo.com/news/chg-meridian-reports-record-lease-100325952.html,2025-05-07 10:03:25,,Yahoo Finance
Ray Dalio’s ‘worse than a recession’ caution has some edgy — here’s his ‘Holy Grail’ of strategies in a crisis,https://finance.yahoo.com/news/ray-dalio-worse-recession-caution-230100726.html,2025-05-05 23:01:00,,Yahoo Finance
SGOV Adds $1.1B in New AUM as Bond Buying Leads the Way,https://finance.yahoo.com/news/sgov-adds-1-1b-aum-230000203.html,2025-05-05 23:00:00,,Yahoo Finance
Palantir Technologies Raises Outlook on Continued AI Demand,https://www.wsj.com/business/earnings/palantir-technologies-raises-outlook-on-continued-ai-demand-70b86650?siteid=yhoof2&yptr=yahoo,2025-05-05 22:58:00,,Yahoo Finance
Dow Jones Futures: Trump Tariffs Spark Market Losses; Palantir Plunges On Earnings,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-trump-tariffs-palantir-pltr-stock/?src=A00220&yptr=yahoo,2025-05-06 02:12:11,,Yahoo Finance
Nothing Bundt Cakes divests nine company-owned San Diego bakeries,https://finance.yahoo.com/news/nothing-bundt-cakes-divests-nine-100146081.html,2025-05-07 10:01:46,,Yahoo Finance
Ford says its Q1 profit fell by two-thirds and it expects a $1.5 billion hit from tariffs this year,https://finance.yahoo.com/news/ford-says-q1-profit-fell-223419913.html,2025-05-05 22:34:19,,Yahoo Finance
How to Track Driver Performance Without Micromanaging,https://finance.yahoo.com/news/track-driver-performance-without-micromanaging-223000356.html,2025-05-05 22:30:00,,Yahoo Finance
"Rite Aid Files Repeat Chapter 11, Its Second in Two Years",https://www.wsj.com/articles/rite-aid-files-repeat-chapter-11-its-second-in-two-years-989a7dba?siteid=yhoof2&yptr=yahoo,2025-05-05 22:30:00,,Yahoo Finance
"Stocks, dollar fall while oil rebounds sharply",https://finance.yahoo.com/news/stocks-drift-dollar-steadies-focus-024300735.html,2025-05-06 02:43:00,,Yahoo Finance
1 Ultra-High-Yield Dividend Stock to Buy Like There's No Tomorrow During the Tariff Tizzy,https://finance.yahoo.com/news/1-ultra-high-yield-dividend-100000232.html,2025-05-07 10:00:00,,Yahoo Finance
"Hong Kong's freight forwarding industry hit by trade war, SCMP reports",https://finance.yahoo.com/news/hong-kongs-freight-forwarding-industry-025404367.html,2025-05-06 02:54:04,,Yahoo Finance
"Gold rises over 2%, spotlight on Fed meet",https://finance.yahoo.com/news/safe-haven-demand-lifts-gold-030423297.html,2025-05-06 03:04:23,,Yahoo Finance
8 money market accounts with interest rates of 4% APY and higher (updated weekly),https://finance.yahoo.com/personal-finance/banking/article/4-percent-interest-money-market-accounts-160154289.html,2025-04-15 16:01:54,,Yahoo Finance
"These Stocks Are Moving the Most Today: Super Micro, AMD, Novo Nordisk, Sarepta, EA, Rivian, Tesla, and More",https://www.barrons.com/articles/stock-market-movers-63332b14?siteid=yhoof2&yptr=yahoo,2025-05-07 09:36:00,,Yahoo Finance
"Russia, China to discuss energy cooperation and proposed Power of Siberia 2 gas pipeline",https://finance.yahoo.com/news/russia-china-discuss-energy-cooperation-095943946.html,2025-05-07 09:59:43,,Yahoo Finance
